,name,year,duration,description,genre,country
92,Звёздные войны: Эпизод 6 - Возвращение Джедая,1983,2h 11m,"После спасения Хана Соло из Джабба Хатта, повстанческий альянс пытается уничтожить вторую звезду смерти, в то время как Люк изо всех сил пытается помочь Дарту Вейдеру вернуться с темной стороны.","['Действие Эпик', 'Приключенческий эпос', 'Темная фантазия', 'Эпический', 'Фэнтезийный эпический', 'Globetrotting Adventure', 'Квест', 'Научно-фантастическая эпопея', 'Космическая научная фантастика', 'Меч и колдовство']",United States
93,Охота,2012,1h 55m,"Учитель живет одинокой жизнью, все время борясь за опеку своего сына. Его жизнь постепенно становится лучше, когда он находит любовь и получает хорошие новости от своего сына, но его новая удача - это ... прочитать все","['Психологическая драма', 'Трагедия', 'Драма']",Denmark
94,Вечное сияние чистого разума,2004,1h 48m,"Когда их отношения становятся кислыми, пара проходит медицинскую процедуру, чтобы навсегда стираться друг от друга из их воспоминаний.","['Темный роман', 'Психологическая драма', 'Драма', 'Роман', 'Научная фантастика']",United States
95,Жить,1952,2h 23m,"Бюрократ пытается найти смысл в своей жизни после того, как обнаружит, что у него терминальный рак.","['Психологическая драма', 'Трагедия', 'Драма']",Japan
96,2001 год: Космическая одиссея,1968,2h 29m,"Когда на Луне раскрывается таинственный артефакт, космический корабль, укомплектованный двумя людьми, и один суперкомпьютер отправляется в Юпитер, чтобы найти его происхождение.","['Приключенческий эпос', 'Искусственный интеллект', 'Эпический', 'Психологическая драма', 'Научно-фантастическая эпопея', 'Космическая научная фантастика', 'Приключение', 'Научная фантастика']",United Kingdom
97,Бешеные псы,1992,1h 39m,"Когда простой украшение ограблений идет ужасно неправильно, выжившие преступники начинают подозревать, что один из них - полицейский информатор.","['Гангстер', 'Ограбление', 'Преступление', 'Триллер']",United States
98,Квартира,1960,2h 5m,"Манхэттенский страховой клерк пытается подняться в своей компании, позволяя ее руководителям использовать его квартиру для свидания, но офисная политика и его собственные романтические надежды усложняют вопросы.","['Фарс', 'Праздничная комедия', 'Праздничный роман', 'Романтическая комедия', 'Комедия', 'Драма', 'Праздничный день', 'Роман']",United States
99,Пожары,2010,2h 11m,"Близнецы отправятся на Ближний Восток, чтобы открыть для себя семейную историю и выполнить последние пожелания своей матери.","['Тайна ожидания', 'Драма', 'Тайна', 'Война']",Canada
100,Лоуренс Аравийский,1962,3h 47m,"История Т.Е. Лоуренс, английский офицер, который успешно объединился и руководил разнообразными, часто враждующими арабскими племенами во время Первой мировой войны, чтобы сражаться с турками.","['Приключенческий эпос', 'Пустынное приключение', 'Эпический', 'Трагедия', 'Военный эпический', 'Приключение', 'Биография', 'Драма', 'Война']",United Kingdom
101,Лицо со шрамом,1983,2h 50m,"В 1980-х годах определенный кубинский иммигрант, настроенный на преступник, становится крупнейшим контрабандистом наркотиков в Майами и в конечном итоге отменен своей собственной наркоманией.","['Преступление на наркотиках', 'Эпический', 'Гангстер', 'Трагедия', 'Преступление', 'Драма']",United States
102,Двойная страховка,1944,1h 47m,"Страховой представитель соблазняется недовольной домохозяйкой в ​​схему страхового мошенничества и убийства, которая вызывает подозрение его коллеги, следователя по претензиям.","['Фильм нуар', 'Вершинный детектив', 'Преступление', 'Драма', 'Тайна', 'Триллер']",United States
103,На север через северо-запад,1959,2h 16m,"Руководитель по рекламе в Нью -Йорке идет в бегах после того, как его приняли за правительственный агент группой иностранных шпионов, и влюбляется в женщину, чьи лояльности он начинает сомневаться.","['Шпион', 'Приключение', 'Драма', 'Тайна', 'Триллер']",United States
104,Схватка,1995,2h 50m,"Группа высококлассных профессиональных воров начинает чувствовать жар от LAPD, когда они неосознанно оставляют словесную подсказку в своем последнем ограблении.","['Действие Эпик', 'Полицейская драма', 'Эпический', 'Гангстер', 'Ограбление', 'Действие', 'Преступление', 'Драма']",United States
105,Гражданин Кейн,1941,1h 59m,"После смерти издательства магната Чарльза Фостера Кейна, журналисты пытаются раскрыть значение его последнего высказывания: «Роузбуд».","['Эпический', 'Период драма', 'Трагедия', 'Драма', 'Тайна']",United States
106,Вверх,2009,1h 36m,"78-летний Карл Фредриксен отправляется в Южную Америку в своем доме, оборудованном воздушными шарами, непреднамеренно взяв молодого устремления.","['Совершеннолетие', 'Компьютерная анимация', 'Globetrotting Adventure', 'Приключение', 'Анимация', 'Комедия', 'Драма', 'Семья']",United States
107,М убийца,1931,1h 57m,"Когда полиция в немецком городе не может поймать убийца ребенка, другие преступники присоединяются к охоте.","['Психологический триллер', 'Серийный убийца', 'Тайна ожидания', 'Преступление', 'Тайна', 'Триллер']",Germany
108,Цельнометаллическая оболочка,1987,1h 56m,"Прагматичный морской пехотинец наблюдает за дегуманизирующими последствиями, которые война во Вьетнаме оказывает на своих собратьев -новобранцев от своих жестоких тренировок в кролическом лагере до кровавой улицы, борьбы с Хюэ.","['Темная комедия', 'Период драма', 'Драма', 'Война']",United Kingdom
109,Головокружение,1958,2h 8m,"Бывший детектив полиции Сан -Франциско жонглирует со своими личными демонами и становясь одержимой навязчиво красивой женщиной, которую его наняли, чтобы трость, которая может быть глубоко прочитать все","['Психологический триллер', 'Трагедия', 'Тайна', 'Роман', 'Триллер']",United States
110,Амели,2001,2h 2m,"Несмотря на то, что молодая официантка Амели решает помочь людям найти счастье. Ее стремление распространять радость приводит ее в путешествие, во время которого она находит настоящую любовь.","['Хороший роман', 'Причудливая комедия', 'Романтическая комедия', 'Комедия', 'Роман']",France
111,Заводной апельсин,1971,2h 16m,Алекс Деярдж и его Droogs варварся разлагаются в ближайшее время.,"['Темная комедия', 'Дистопическая научная фантастика', 'Преступление', 'Научная фантастика']",United Kingdom
112,Развод Надера и Симин,2011,2h 3m,"Супружеская пара сталкивается с трудным решением - улучшить жизнь своего ребенка, переехав в другую страну или остаться в Иране и присматривать за ухудшением родителей, у которого есть болезнь Альцгей ... читать все","['Юридическая драма', 'Психологическая драма', 'Драма']",Iran
113,Убить пересмешника,1962,2h 9m,"Овдовевший адвокат в эпохе депрессии Алабамы защищает чернокожих от ложного обвинения в изнасиловании, обучая своих маленьких детей о печальной реальности предрассудков.","['Юридическая драма', 'Период драма', 'Преступление', 'Драма']",United States
114,Оппенгеймер,2023,3h,"Драматизация истории жизни Дж. Роберта Оппенгеймера, физика, у которого была большая рука в развитии атомных бомб, которые положили конец Второй мировой войне.","['Docudrama', 'Эпический', 'Исторический эпический', 'Период драма', 'Психологическая драма', 'Биография', 'Драма', 'История']",United States
115,Крепкий орешек,1988,2h 12m,"Полицейский из Нью -Йорка пытается спасти свою отчужденную жену и несколько других, взятых террористов во время рождественской вечеринки на Накатоми Плаза в Лос -Анджелесе.","['Катастрофа', 'Армия с одной личной армией', 'Действие', 'Праздничный день', 'Триллер']",United States
116,Афера,1973,2h 9m,"Два сбора объединяются, чтобы снять Ultimate Con.","['Капер', 'Комедия', 'Преступление', 'Драма']",United States
117,Звёздочки на земле,2007,2h 42m,"Считается, что молодой мальчик не является чем -то иным, как ленивым нарушителем нарушителя, пока у нового учителя искусства не будет терпения и сострадания, чтобы обнаружить реальную проблему, стоящую за его борьбой в школе.","['Драма', 'Семья']",India
118,Индиана Джонс и последний крестовый поход,1989,2h 7m,"В 1938 году, после того, как его отец пропал без вести, преследуя Святой Грааль, Индиана Джонс снова оказывается против нацистов, чтобы помешать им получить свои силы.","['Приключенческий эпос', 'Пустынное приключение', 'Globetrotting Adventure', 'Квест', 'Действие', 'Приключение']",United States
119,Метрополис,1927,2h 33m,"В футуристическом городе, резко разделенном между рабочим классом и планировщиками города, сын вдохновителя города влюбляется в пророка рабочего класса, который предсказывает пришествие ... Прочтите все","['Дистопическая научная фантастика', 'Эпический', 'Научно-фантастическая эпопея', 'Стимпанк', 'Драма', 'Научная фантастика']",Germany
120,Большой куш,2000,1h 44m,"Ноблезные боксерские промоутеры, жестокие букмекеры, русский гангстер, некомпетентные грабители -любители и предположительно еврейские ювелиры борются за то, чтобы выследить бесценный украденный бриллиант.","['Капер', 'Темная комедия', 'Гангстер', 'Комедия', 'Преступление']",United Kingdom
121,1917,2019,1h 59m,"6 апреля 1917 года. По мере того, как пехотный батальон собирается, чтобы вести войну глубоко на территории противника, два солдата назначаются для участия в гонке со временем и донесут сообщение, которое остановит 1600 человек из WA ... Прочтите все","['Эпический', 'Период драма', 'Военный эпический', 'Действие', 'Драма', 'Война']",United Kingdom
122,Секреты Лос-Анджелеса,1997,2h 18m,"По мере роста коррупции в 1950 -х годах Лос -Анджелеса, три полицейских - один из проливных, один жестокий и один неряшливый - расследуйте серию убийств со своим собственным брендом справедливости.","['Триллер заговора', 'Полицейская драма', 'Вершинный детектив', 'Период драма', 'Полицейские процедурные', 'Тайна ожидания', 'Whodunnit', 'Преступление', 'Драма', 'Тайна']",United States
123,Похитители велосипедов,1948,1h 29m,"В послевоенной Италии похищен велосипед рабочего класса, угрожая его усилиям по поиску работы. Он и его сын решили найти это.","['Трагедия', 'Драма']",Italy
124,Бункер,2004,2h 36m,"Траудл Юнге, финальный секретарь Адольфа Гитлера, рассказывает о последних днях нацистского диктатора в его Берлинском бункере в конце Второй мировой войны.","['Docudrama', 'Политическая драма', 'Трагедия', 'Биография', 'Драма', 'История', 'Война']",Germany
125,Дангал. Слово борца,2016,2h 41m,"Махавир Сингх Фогат, бывший борцов","['Действие', 'Биография', 'Драма', 'Спорт']",India
126,Таксист,1976,1h 54m,"Мраво неуравновешенный ветеран работает ночным таксистом в Нью -Йорке, где воспринимаемый декаданс и подлости подпитывают его стремление к насильственным действиям.","['Психологическая драма', 'Преступление', 'Драма']",United States
127,Гамильтон,2020,2h 40m,Реальная жизнь одного из главных отцов -основателей Америки и первого секретаря казначейства Александр Гамильтон. Захвачен в прямом эфире на Бродвее из театра Ричарда Роджерса с оригиналом ... читать все,"['Эпический', 'Биография', 'Драма', 'История', 'Мюзикл']",United States
128,Волк с Уолл-стрит,2013,3h,"Основываясь на истинной истории Джордана Белфорта, от его подъема до богатого фондового брокера, проживающего высокую жизнь до его падения, связанного с преступностью, коррупцией и федеральным правительством.","['Темная комедия', 'Docudrama', 'Эпический', 'Групкая комедия', 'Сатира', 'Истинное преступление', 'Биография', 'Комедия', 'Преступление', 'Драма']",United States
129,Бэтмен: Начало,2005,2h 20m,"Свидев смерть своих родителей, миллиардер Брюс Уэйн узнает искусство борьбы, чтобы противостоять несправедливости. Когда он возвращается в Готэм в качестве Бэтмена, он должен остановить секретное общество, которое намеревается ... читать все","['Действие Эпик', 'Эпический', 'Супергерой', 'Трагедия', 'Действие', 'Драма']",United States
130,Зеленая книга,2018,2h 10m,Итальянско-американский вышибала рабочего класса становится движущей силой афроамериканского классического пианиста в туре по местам по американскому югу 1960-х годов.,"['Docudrama', 'Период драма', 'Дорожная поездка', 'Биография', 'Комедия', 'Драма', 'Музыка']",United States
131,На несколько долларов больше,1965,2h 12m,"Два убийцы наградных с аналогичными намерениями, но различные мотивы объединяются, чтобы выследить психотический мексиканский преступник, прежде чем он и его банда смогут выполнить смелое ограбление банка.","['Армия с одной личной армией', 'Спагетти Вестерн', 'Драма', 'Западный']",Italy
132,Шоу Трумана,1998,Peter Weir,"Продавец страхования начинает подозревать, что вся его жизнь на самом деле является своего рода реалити -шоу.","['Темная комедия', 'Комедия с высокой концепцией', 'Психологическая драма', 'Сатира', 'Шоу -бизнес драма', 'Комедия', 'Драма']",United States
133,Нюрнбергский процесс,1961,2h 59m,"Художественное изображение судебного разбирательства 1947 года, третьего из двенадцати судебных процессов нацистских военных преступников, проведенных американскими оккупационными силами в Нюрнберге, Германия, в которых бывшие судьи ... прочитали все","['Юридическая драма', 'Драма', 'Война']",United States
134,В джазе только девушки,1959,2h 1m,"После того, как два музыканта-мужчины стали свидетелями хита толпы, они бежат от государства в группе, замаскированной как женщины, замаскированной как женщины, но возникают дальнейшие осложнения.","['Приятель комедия', 'Фарс', 'Сатира', 'Винтбол комедия', 'Комедия', 'Музыка', 'Роман']",United States
135,Малыш,1921,1h 8m,"Бродяга заботится о брошенном ребенке, но события подвергают их отношениям их отношения.","['Приятель комедия', 'Защелка', 'Комедия', 'Драма', 'Семья']",United States
136,Остров проклятых,2010,2h 18m,"Два американских маршала отправляются в психиатрическое учреждение на негостеприимном острове, чтобы исследовать исчезновение пациента.","['Психологический триллер', 'Тайна ожидания', 'Драма', 'Тайна', 'Триллер']",United States
137,Отец,2020,1h 37m,"Мужчина отказывается от всей помощи от своей дочери, когда он стареет. Когда он пытается понять, что происходит вокруг него, он начинает сомневаться","['Психологическая драма', 'Драма', 'Тайна']",United Kingdom
138,Всё о Еве,1950,2h 18m,"Казалось бы, робкая, но тайно безжалостная Инжене вмешается в жизнь стареющей звезды Бродвея и ее круга театральных друзей.","['Шоу -бизнес драма', 'Драма']",United States
139,Парк юрского периода,1993,2h 7m,"Промышленник приглашает некоторых экспертов посетить его тематический парк клонированных динозавров. После сбоя энергии существа бегают, укладывая жизнь каждого, включая его внуков, в ... Прочтите все","['Приключение динозавров', 'Джунгли Приключение', 'Действие', 'Приключение', 'Научная фантастика', 'Триллер']",United States
140,Нефть,2007,2h 38m,"История семьи, религии, ненависти, нефти и безумия, сосредоточенная на разведчике на рубеже веков в первые дни бизнеса.","['Эпический', 'Период драма', 'Психологическая драма', 'Трагедия', 'Драма']",United States
141,Казино,1995,2h 58m,"В Лас-Вегасе два лучших друзья-исполнительный директор казино и мафиозный сияющий-скомплектируются империей азартных игр и быстроживущем, быстро любящем светском происхождении.","['Docudrama', 'Эпический', 'Гангстер', 'Истинное преступление', 'Преступление', 'Драма']",United States
142,Шестое чувство,1999,1h 47m,"После того, как его застрелил бывшим пациентом, которого он не смог помочь, детский психолог из Филадельфии ищет искупления, обращаясь к молодому мальчику с тревожным секретом.","['Психологическая драма', 'Психологический триллер', 'Тайна ожидания', 'Драма', 'Тайна', 'Триллер']",United States
143,Ран,1985,2h 40m,"В средневековой Японии пожилой военачальник уходит на пенсию, передавая свою империю своим трем сыновьям. Тем не менее, он значительно недооценивает, как вновь обретенная сила испортит их, и заставит их перевернуть ... прочитать все","['Эпический', 'Самурай', 'Трагедия', 'Военный эпический', 'Действие', 'Драма', 'Война']",Japan
144,Топ Ган. Мэверик,2022,2h 10m,"История связана с тем, что Маверик противостоит своему прошлому во время обучения группы молодых выпускников высшего оружия, в том числе сына его покойного лучшего друга, для опасной миссии.","['Действие Эпик', 'Эпический', 'Действие', 'Драма']",United States
145,Старикам тут не место,2007,2h 2m,"Насилие и хаос заступают после того, как охотник наткнулся на последствия сделки с наркотиками, и более двух миллионов долларов наличными возле Рио -Гранде.","['Современный западный', 'Серийный убийца', 'Преступление', 'Драма', 'Триллер']",United States
146,Нечто,1982,1h 49m,"Исследовательская группа в Антарктиде охотится на инопланетянин, изменяющий форму, который предполагает появление своих жертв.","['Инопланетное вторжение', 'Ужас тела', 'Монстр ужас', 'Сверхъестественный ужас', 'Трагедия', 'Ужас', 'Тайна', 'Научная фантастика']",United States
147,Лабиринт Фавна,2006,1h 58m,"В 1944 году Испания послала девушку жить со своим безжалостным отчимом. Ночью она встречает фею, которая ведет ее к старому фаун. Он говорит ей, что она принцесса, но должна доказать ее Роялт ... читать все","['Совершеннолетие', 'Темная фантазия', 'Сказка', 'Период драма', 'Сверхъестественная фантазия', 'Подростка фантазия', 'Трагедия', 'Драма', 'Фантастика', 'Война']",Mexico
148,Непрощенный,1992,2h 10m,"Острый Уэст -Уэст -Ганслингер в отставке неохотно берет на себя последнюю работу, чтобы отомстить за несправедливость с помощью своего старого партнера и более нового преступника, известного просто как ребенок Шофилда.","['Период драма', 'Трагедия', 'Драма', 'Западный']",United States
149,Игры разума,2001,2h 15m,"Математический гений, Джон Нэш сделал удивительное открытие в начале своей карьеры и стоял на грани международного признания. Но красивый и высокомерный Нэш вскоре оказался на ... прочтите все","['Docudrama', 'Период драма', 'Психологическая драма', 'Биография', 'Драма', 'Тайна']",United States
150,Убить Билла. Фильм 1,2003,1h 51m,"Проснувшись от четырехлетней комы, бывший убийца отомстил от команды убийц, которые ее предали.","['Кунг -фу', 'Боевые искусства', 'Армия с одной личной армией', 'Действие', 'Преступление', 'Триллер']",United States
151,Сокровища Сьерра Мадре,1948,2h 6m,"Два американца в духе, ищущие работу в 1920-х годах Мексики, убедили старого разведчика помочь им добывать золото в горах Сьерра-Мадре.","['Трагедия', 'Приключение', 'Драма', 'Западный']",United States
152,Пленницы,2013,2h 33m,"Келлер Дувер сталкивается с худшим кошмаром каждого родителя. Его шестилетняя дочь, Анна, пропала без вести вместе со своей подругой, Джой и, когда минуты превращаются в часы, панические зарегистрируются. Единственное лидерство ... Прочтите все","['Психологический триллер', 'Тайна ожидания', 'Преступление', 'Драма', 'Тайна', 'Триллер']",United States
153,Телохранитель,1961,1h 50m,"Хитрый Ронин приходит в город, разделенный двумя преступными бандами, и решает сыграть их друг против друга, чтобы освободить город.","['Армия с одной личной армией', 'Период драма', 'Самурай', 'Действие', 'Драма', 'Триллер']",Japan
154,В поисках Немо,2003,1h 40m,"После того, как его сын запечатлен в Большом Барьерном рифе и доставлен в Сидней, робкая рыба -клоуна отправляется в путешествие, чтобы привести его домой.","['Приключение животных', 'Приятель комедия', 'Компьютерная анимация', 'Квест', 'Морское приключение', 'Приключение', 'Анимация', 'Комедия', 'Семья']",United States
155,Большой побег,1963,2h 52m,"Союзные офицеры в немецком лагере военнопленного во время Второй мировой войны, составляя смелый план массового побега сотнями их людей, надеясь вытащить немецкий персонал и ресурсы из ... читать все","['Период драма', 'Тюремная драма', 'Военный эпический', 'Приключение', 'Драма', 'Триллер', 'Война']",United States
156,Монти Пайтон и священный Грааль,1975,1h 31m,"Король Артур и его рыцари круглого стола отправляются в сюрреалистический, малобюджетный поиск Святого Грааля, встречающего много, очень глупые препятствия.","['Фарс', 'Пародия', 'Квест', 'Сатира', 'Эскиз комедии', 'Защелка', 'Меч и колдовство', 'Приключение', 'Комедия', 'Фантастика']",United Kingdom
157,Ходячий замок,2004,1h 59m,"Когда неуверенная молодая женщина проклята старым телом злобной ведьмой, ее единственный шанс нарушить заклинание лежит с самодовольным, но небезопасным молодым волшебником и его спутниками ... прочтите все","['Приключенческий эпос', 'Аниме', 'Нарисованная вручную анимацию', 'Сверхъестественная фантазия', 'Приключение', 'Анимация', 'Семья', 'Фантастика']",Japan
158,Человек-слон,1980,2h 4m,"Викторианский хирург спасает сильно изуродованного человека, которому плохо обращается, когда собираясь на жизнь как урод с боковым шоу. За его чудовищным фасадом раскрыт человек доброты, inte ... читать все","['Docudrama', 'Период драма', 'Трагедия', 'Биография', 'Драма']",United States
159,В случае убийства набирайте «М»,1954,1h 45m,"Лондонский плейбой представляет идеальное убийство его богатой, неверной жены.","['Преступление', 'Драма', 'Тайна', 'Триллер']",United States
160,Унесенные ветром,1939,3h 58m,"Закрытая и манипулятивная южная Белль и рогусский спекулятор лицом в бурной романе, когда общество вокруг них рушатся с концом рабства и перестраивается во время гражданского ... читать все","['Драма костюма', 'Эпический', 'Период драма', 'Романтический эпос', 'Трагический роман', 'Военный эпический', 'Драма', 'Роман', 'Война']",United States
161,Расёмон,1950,1h 28m,"Изнасилование невесты и убийство ее мужа -самураев вспоминаются с точек зрения бандита, невесты, призрака самураев и деревянного штампа.","['Период драма', 'Преступление', 'Драма', 'Тайна']",Japan
162,Клаус,2019,1h 36m,"Простой акт доброты всегда вызывает другой, даже в замороженном, далеком месте. Когда новый почтальон Смиеренсбурга, Джеспер, подружился с игрушками Клауса, их дары растают вековую вражду и родом ... прочитайте все","['Нарисованная вручную анимацию', 'Праздничная анимация', 'Праздничная комедия', 'Праздничная семья', 'Приключение', 'Анимация', 'Комедия', 'Семья', 'Фантастика', 'Праздничный день']",Spain
163,Китайский квартал,1974,2h 10m,"Частный детектив, нанятый для разоблачения прелюбодея в 1930 -х годах, Лос -Анджелес оказывается в том, что он попал в сеть обмана, коррупции и убийств.","['Триллер заговора', 'Вершинный детектив', 'Психологическая драма', 'Психологический триллер', 'Трагедия', 'Драма', 'Тайна', 'Триллер']",United States
164,Тайна в его глазах,2009,2h 9m,Пенсионный юриста -консультант пишет роман в надежде найти закрытие для одного из его прошлых неразрешенных случаев убийств и за его незамеченную любовь к своему начальнику - оба из которых все еще преследуют Привет ... все читайте все,"['Темный роман', 'Эротический триллер', 'Легальный триллер', 'Период драма', 'Психологическая драма', 'Психологический триллер', 'Тайна ожидания', 'Трагедия', 'Whodunnit', 'Драма']",Argentina
165,"Карты, деньги, два ствола",1998,1h 47m,"Когда четыре мелких преступника проигрывают сфальсифицированную игру в покер против лондонского короля, он дает им одну неделю, чтобы урегулировать их огромный долг.","['Фарс', 'Комедия', 'Преступление']",United Kingdom
166,Я все еще здесь,2024,Walter Salles,"Женщина вышла замуж за бывшего политика во время военной диктатуры в Бразилии, вынуждена заново изобретать себя и наметить новый курс для своей семьи после насильственного и произвольного акта.","['Docudrama', 'Период драма', 'Политическая драма', 'Биография', 'Драма', 'История']",Brazil
167,«V» значит Вендетта,2005,2h 12m,"В будущем Британском антиутопическом обществе, темный боец ​​свободы, известный только псевдонимом «V», предназначен для свержения тиранического правительства - с помощью молодой женщины.","['Дистопическая научная фантастика', 'Политический триллер', 'Супергерой', 'Действие', 'Драма', 'Научная фантастика', 'Триллер']",United States
168,Головоломка,2015,1h 35m,"После того, как молодая Райли вырвана с ее жизни на Среднем Западе и переехала в Сан -Франциско, ее эмоции - радость, страх, гнев, отвращение и грусть - конфликт с тем, как лучше всего ориентироваться в новом городе, доме и ... прочитать все","['Совершеннолетие', 'Компьютерная анимация', 'Приключение', 'Анимация', 'Комедия', 'Драма', 'Семья', 'Фантастика']",United States
169,Дикий робот,2024,Chris Sanders,"После кораблекрушения умный робот под названием Роз оказался на необитаемом острове. Чтобы выжить в суровой среде, Роз связывается с животными острова и заботится о ребенке с осиротевшими ... читать все","['Искусственный интеллект', 'Компьютерная анимация', 'Выживание', 'Анимация', 'Научная фантастика']",United States
170,"Три билборда на границе Эббинга, Миссури",2017,1h 55m,"Мать лично бросает вызов местным властям раскрыть убийство своей дочери, когда они не могут поймать виновника.","['Темная комедия', 'Сатира', 'Комедия', 'Преступление', 'Драма']",United Kingdom
171,Мост через реку Квай,1957,2h 41m,"Британские военнопленные вынуждены построить железнодорожный мост через реку Кваи для своих японских похитителей в оккупированной Бирме, не зная, что союзные силы планируют смелый коммандос набег ... Прочтите все","['Джунгли Приключение', 'Военный эпический', 'Приключение', 'Драма', 'Война']",United Kingdom
172,На игле,1996,1h 33m,"Рентон, глубоко погруженный на сцену наркотиков в Эдинбурге, пытается убрать и выйти, несмотря на очарование наркотиков и влияние друзей.","['Темная комедия', 'Психологическая драма', 'Драма']",United Kingdom
173,Бешеный бык,1980,2h 9m,"Жизнь боксера Джейка Ламотты, чье насилие и характер, которые привели его к вершине на ринге, разрушила его жизнь вне его.","['Бокс', 'Docudrama', 'Период драма', 'Биография', 'Драма', 'Спорт']",United States
174,"Поймай меня, если сможешь",2002,2h 21m,"Еще 17 еще 17, Фрэнк - опытный фальсификатор, который прошел в качестве врача, адвоката и пилота. Агент ФБР Карл становится одержимым отслеживанием мошенника, который только наслаждается преследованием.","['Капер', 'Совершеннолетие', 'Docudrama', 'Globetrotting Adventure', 'Период драма', 'Истинное преступление', 'Биография', 'Преступление', 'Драма']",United States
175,Фарго,1996,1h 38m,"Продавец автомобилей Миннесоты Джерри Ландегаард непредубеляется из -за того, что он и его приспешники сражаются и постоянную полицейскую работу довольно беременной Мардж Гандерсон.","['Полицейская драма', 'Темная комедия', 'Полицейские процедурные', 'Трагедия', 'Преступление', 'Драма', 'Триллер']",United Kingdom
176,Воин,2011,2h 20m,"Младший сын бывшего боксера -алкоголика возвращается домой, где он обучен своим отцом для соревнований на турнире смешанных боевых искусств - путь, который ставит бойца на столкновение ... Прочтите все","['Бокс', 'Действие', 'Драма', 'Спорт']",United States
177,Гарри Поттер и Дары смерти: Часть II,2011,2h 10m,"По мере того, как битва между силами добра и зла в волшебном мире экранируется, Гарри Поттер приближается к своему последнему противостоянию с Волдемортом.","['Темная фантазия', 'Фэнтезийный эпический', 'Подростковое приключение', 'Подростка фантазия', 'Приключение', 'Семья', 'Фантастика', 'Тайна']",United Kingdom
178,Гран Торино,2008,1h 56m,"После того, как подросток хмонга пытается украсть свой ценный Gran Torino 1972 года, недовольный, предвзятый ветеран Корейской войны стремится искупить и мальчика, и его себя.",['Драма'],Germany
179,Малышка на миллион,2004,2h 12m,"Фрэнки, злоупотребленный старым тренером, неохотно соглашается обучить начинающего боксера Мэгги. Впечатлен ее решимостью и талантом, он помогает ей стать лучшей, и они вскоре составляют близость ... читать все","['Бокс', 'Трагедия', 'Драма', 'Спорт']",United States
180,Мой сосед Тоторо,1988,1h 26m,"Когда две девушки переезжают в страну, чтобы быть рядом с своей больной матерью, у них есть приключения с чудесными лесными духами, которые живут поблизости.","['Аниме', 'Нарисованная вручную анимацию', 'Iyashikei', 'Анимация', 'Комедия', 'Семья', 'Фантастика']",Japan
181,Человек-паук: Нет пути домой,2021,2h 28m,"Теперь, когда личность Человека-паука раскрыта, Питер просит доктора Стрэнджа о помощи. Когда заклинание идет неправильно, начинают появляться опасные враги из других миров.","['Супергерой', 'Сверхъестественная фантазия', 'Городское приключение', 'Действие', 'Приключение', 'Фантастика', 'Научная фантастика']",United States
182,Безумный Макс: Дорога ярости,2015,2h,"В постсопокалиптической пустоши женщина-восстает против тиранического правителя в поисках своей родины с помощью группы женских заключенных, психотического поклонника и дрифтера по имени ... Прочтите все","['Действие Эпик', 'Приключенческий эпос', 'Автомобильное действие', 'Пустынное приключение', 'Дистопическая научная фантастика', 'Эпический', 'Квест', 'Дорожная поездка', 'Действие', 'Приключение']",Australia
183,Бен-Гур,1959,3h 32m,"Еврейский принц предан и отправлен в рабство римским другом в Иерусалиме 1-го века, но вскоре он восстановит свою свободу и вернется за мести.","['Приключенческий эпос', 'Эпический', 'Период драма', 'Меч и сандалия', 'Приключение', 'Драма']",United States
184,Дети небес,1997,1h 29m,"После того, как мальчик теряет пару туфель своей сестры, он отправляется в серию приключений, чтобы найти их. Когда он не может, он пробует новый способ «выиграть» новую пару.","['Драма', 'Семья', 'Спорт']",Iran
185,Барри Линдон,1975,3h 5m,Ирландский мошенник выигрывает сердце богатой вдовы и занимает аристократическую должность ее мертвого мужа в Англии 18-го века.,"['Драма костюма', 'Темная комедия', 'Эпический', 'Период драма', 'Приключение', 'Драма', 'Война']",United Kingdom
186,12 лет рабства,2013,2h 14m,"В антебеллуме Соломон Нортуп, свободный черный человек из северной части штата Нью -Йорк, похищен и продается в рабство.","['Драма костюма', 'Docudrama', 'Эпический', 'Период драма', 'Трагедия', 'Биография', 'Драма', 'История']",United Kingdom
187,Перед рассветом,1995,1h 41m,"Молодой мужчина и женщина встречаются в поезде в Европе, и однажды вечером проводят вместе в Вене. К сожалению, оба знают, что это, вероятно, будет их единственной ночью вместе.","['Драма', 'Роман']",United States
188,Общество мёртвых поэтов,1989,2h 8m,"Учитель Маверика Джон Китинг возвращается в 1959 году в престижную школу для мальчиков в Новой Англии, где когда -то был звездным учеником, используя поэзию, чтобы ободрить своих учеников к новым высотам sel ... Прочтите все","['Совершеннолетие', 'Подростка драма', 'Комедия', 'Драма']",United States
189,Бегущий по лезвию,1982,1h 57m,"Бегущий по лезвию должен преследовать и прекратить четыре репликанта, которые украли корабль в космосе и вернулись на Землю, чтобы найти своего создателя.","['Искусственный интеллект', 'Кибер -триллер', 'Киберпанк', 'Дистопическая научная фантастика', 'Действие', 'Драма', 'Научная фантастика', 'Триллер']",United States
